n,pb,tp,skin,UtilizeNIII,gridsync,nblist
512,16,16,0.9,True,True,N squared
1024,16,22,0.5,False,True,N squared
2048,32,16,0.7,False,True,N squared
4096,64,9,1.3,True,True,N squared
8192,64,5,1.3,True,True,linked lists
16384,128,4,1.3,True,True,linked lists
32768,256,2,0.7,True,True,linked lists
65536,512,1,0.5,True,True,linked lists
131072,256,3,0.9,True,False,linked lists
262144,256,4,0.7,True,False,linked lists
524288,256,3,0.5,True,False,linked lists
1048576,256,3,0.3,False,False,linked lists
2097152,32,12,0.5,False,False,linked lists
