time,gpu,power,gtemp,mtemp
23:16:43,0,14,28,-
23:16:44,0,14,28,-
23:16:45,0,14,28,-
23:16:46,0,14,28,-
23:16:47,0,14,28,-
23:16:48,0,14,28,-
23:16:49,0,14,28,-
23:16:50,0,14,28,-
23:16:51,0,14,28,-
23:16:52,0,15,28,-
23:16:53,0,15,28,-
23:16:54,0,15,28,-
23:16:56,0,15,28,-
23:16:57,0,15,28,-
23:16:58,0,15,28,-
23:16:59,0,15,28,-
23:17:00,0,15,28,-
23:17:01,0,35,29,-
23:17:02,0,67,31,-
23:17:03,0,70,30,-
23:17:04,0,82,32,-
23:17:05,0,107,32,-
23:17:06,0,107,32,-
23:17:07,0,107,32,-
23:17:08,0,107,32,-
23:17:09,0,107,33,-
23:17:10,0,107,33,-
23:17:11,0,108,33,-
23:17:12,0,108,33,-
23:17:13,0,108,33,-
23:17:14,0,108,33,-
23:17:15,0,108,33,-
23:17:16,0,108,33,-
23:17:17,0,108,33,-
23:17:18,0,108,33,-
23:17:19,0,108,33,-
23:17:20,0,108,33,-
23:17:21,0,108,34,-
23:17:22,0,108,34,-
23:17:23,0,108,34,-
23:17:24,0,79,32,-
23:17:25,0,71,31,-
23:17:26,0,62,31,-
23:17:27,0,58,31,-
23:17:28,0,55,31,-
23:17:29,0,55,31,-
23:17:30,0,55,31,-
23:17:31,0,55,31,-
23:17:32,0,55,31,-
23:17:33,0,55,31,-
23:17:34,0,55,31,-
23:17:35,0,55,31,-
23:17:36,0,55,31,-
23:17:37,0,55,31,-
23:17:38,0,55,31,-
23:17:39,0,56,31,-
23:17:40,0,87,35,-
23:17:41,0,128,35,-
23:17:42,0,128,35,-
23:17:43,0,128,35,-
23:17:44,0,128,36,-
23:17:45,0,128,36,-
23:17:46,0,128,36,-
23:17:47,0,129,36,-
23:17:48,0,128,36,-
23:17:49,0,128,36,-
23:17:50,0,129,36,-
23:17:51,0,130,36,-
23:17:52,0,129,35,-
23:17:53,0,71,33,-
23:17:54,0,64,33,-
23:17:55,0,60,32,-
23:17:56,0,56,32,-
23:17:57,0,56,32,-
23:17:58,0,56,32,-
23:17:59,0,56,32,-
23:18:00,0,56,32,-
23:18:01,0,56,32,-
23:18:02,0,56,32,-
23:18:03,0,56,32,-
23:18:04,0,56,32,-
23:18:05,0,56,32,-
23:18:06,0,56,32,-
23:18:07,0,56,32,-
23:18:08,0,56,32,-
23:18:09,0,85,36,-
23:18:10,0,158,37,-
23:18:11,0,158,37,-
23:18:12,0,158,38,-
23:18:13,0,158,38,-
23:18:14,0,158,38,-
23:18:15,0,159,38,-
23:18:16,0,158,38,-
23:18:17,0,157,38,-
23:18:18,0,157,38,-
23:18:19,0,157,38,-
23:18:20,0,157,38,-
23:18:21,0,157,38,-
23:18:22,0,158,38,-
23:18:23,0,120,34,-
23:18:24,0,78,34,-
23:18:25,0,63,33,-
23:18:26,0,60,33,-
23:18:27,0,57,33,-
23:18:28,0,56,33,-
23:18:29,0,57,33,-
23:18:30,0,57,33,-
23:18:31,0,57,33,-
23:18:32,0,57,33,-
23:18:33,0,57,33,-
23:18:34,0,57,33,-
23:18:35,0,57,33,-
23:18:36,0,57,32,-
23:18:37,0,57,32,-
23:18:38,0,57,32,-
23:18:39,0,57,32,-
23:18:40,0,115,38,-
23:18:41,0,179,39,-
23:18:42,0,180,39,-
