time,gpu,total
0,14.94,138.43
1,15.05,132.69
2,14.80,131.92
3,14.25,131.92
4,14.00,134.23
5,14.17,114.28
6,14.27,127.82
7,14.37,124.83
8,14.61,120.99
9,14.48,125.26
10,14.61,127.49
11,14.85,129.83
12,14.94,129.83
13,15.02,123.60
14,14.98,125.63
15,14.77,141.13
16,26.27,136.33
17,73.92,190.41
18,79.62,182.71
19,106.62,260.37
20,107.05,251.78
21,107.48,267.78
22,107.14,257.14
23,107.12,241.87
24,106.80,237.77
25,107.27,243.35
26,107.02,246.65
27,106.92,281.37
28,106.59,272.23
29,106.49,254.92
30,107.50,256.73
31,107.87,265.69
32,107.73,270.07
33,108.11,258.00
34,108.03,245.92
35,108.35,257.37
36,108.01,250.10
37,107.12,256.38
38,90.66,256.06
39,70.90,187.38
40,61.98,170.50
41,58.72,189.62
42,55.54,158.26
43,55.51,171.95
44,55.58,166.39
45,55.65,176.96
46,55.68,174.91
47,55.37,150.44
48,55.50,169.33
49,55.97,208.64
50,56.07,148.53
51,56.09,178.46
52,55.93,165.31
53,56.09,182.38
54,109.00,281.86
55,129.12,244.85
56,129.29,267.35
57,129.14,260.95
58,129.38,272.93
59,129.38,310.59
60,129.12,281.92
61,129.15,278.90
62,129.09,283.37
63,129.50,276.08
64,129.62,270.87
65,130.22,264.59
66,117.55,281.75
67,76.48,188.07
68,63.27,169.20
69,59.90,178.49
70,56.70,173.58
71,56.86,164.61
72,57.44,164.43
73,58.04,171.74
74,58.15,175.45
75,57.82,168.21
76,57.48,162.24
77,57.21,176.91
78,56.84,174.82
79,56.54,163.02
80,56.48,148.39
81,56.76,174.89
82,95.19,202.03
83,162.48,310.89
84,162.65,205.96
85,162.82,288.99
86,162.59,299.40
87,162.85,297.86
88,162.83,305.80
89,162.53,314.30
90,161.76,309.48
91,161.84,307.06
92,161.81,307.57
93,161.86,328.98
94,161.85,301.85
95,161.51,283.50
96,124.49,306.66
97,80.79,178.93
98,63.16,165.87
99,59.76,178.52
100,56.59,166.06
101,56.38,169.22
102,56.07,166.98
103,56.26,171.35
104,56.58,177.36
105,56.56,175.20
106,56.57,163.99
107,56.71,167.54
108,56.92,181.33
109,57.12,173.40
110,57.17,179.30
111,57.30,167.50
112,121.57,266.15
113,181.40,308.63
114,181.86,317.31
115,182.18,329.71
116,182.49,320.18
117,182.65,324.01
118,183.05,318.38
119,183.34,321.23
120,182.98,335.71
121,183.34,325.56
122,183.26,340.91
123,183.32,320.07
124,183.16,322.61
125,183.19,343.32
126,183.15,309.60
127,183.01,324.51
128,131.80,164.71
129,78.22,182.56
130,63.29,155.52
131,59.78,166.92
132,56.49,158.29
133,56.19,179.03
134,55.84,174.33
135,55.91,175.36
136,55.81,182.04
137,55.74,182.22
138,56.06,168.39
139,55.98,164.51
140,55.75,172.07
141,56.15,179.49
142,56.57,170.51
143,57.03,204.20
144,111.22,285.93
145,154.79,297.09
146,156.60,313.14
147,159.47,232.01
148,161.44,329.85
149,162.75,320.83
150,163.66,310.53
151,164.42,308.14
152,164.60,326.30
153,165.08,304.33
154,166.05,316.30
155,166.26,318.95
156,166.51,309.28
157,166.53,315.16
158,166.43,309.52
159,166.55,320.89
160,166.55,276.61
161,166.34,314.72
162,166.09,314.17
163,82.81,187.48
164,64.21,190.42
165,60.10,163.63
166,56.15,156.68
167,56.27,171.55
168,56.42,185.46
169,56.38,171.71
170,56.39,183.88
171,56.61,148.10
172,56.68,169.01
173,56.65,182.03
174,56.58,177.97
175,56.49,173.99
176,56.45,163.44
177,56.58,175.65
178,56.85,207.12
179,154.21,350.92
180,182.92,329.01
181,186.11,348.61
182,189.31,363.08
183,191.35,329.35
184,192.55,330.03
185,193.65,335.12
186,193.61,332.22
187,192.95,329.80
188,192.71,329.80
189,193.27,347.66
190,193.77,339.62
191,194.01,334.67
192,145.94,338.28
193,88.02,179.84
194,65.42,154.31
195,60.81,186.61
196,56.20,164.98
197,56.26,159.15
198,56.21,157.71
199,56.00,170.94
200,55.77,160.44
201,55.74,157.74
202,56.01,159.80
203,56.22,172.10
204,56.35,171.62
205,56.10,162.89
206,55.72,171.59
207,55.91,176.89
208,123.05,210.03
209,206.57,339.93
210,215.53,360.31
211,218.65,375.71
212,221.20,365.27
213,223.89,378.40
214,224.01,378.40
215,224.56,375.51
216,226.20,356.53
217,226.53,373.65
218,226.67,355.46
219,226.38,382.00
220,225.98,370.62
221,225.04,371.90
222,225.29,370.97
223,225.22,365.32
224,132.45,356.79
225,89.19,198.78
226,64.46,167.76
227,60.74,189.81
228,57.19,197.58
229,56.94,195.08
230,56.88,170.82
231,56.84,174.55
232,56.59,177.57
233,56.46,170.55
234,56.49,174.30
235,56.63,170.78
236,56.61,163.95
237,56.66,189.64
238,56.67,163.47
239,56.81,173.42
240,145.59,216.37
241,251.48,389.82
242,260.56,406.37
243,264.77,415.05
244,266.44,409.65
245,266.96,412.78
246,265.26,420.13
247,265.44,392.22
248,265.50,420.27
249,266.44,417.54
250,265.11,403.06
251,262.93,418.82
252,261.57,409.08
253,260.71,421.10
254,261.14,408.92
255,261.22,424.41
