time,power
1,14.66
2,14.93
3,14.77
4,14.87
5,14.91
6,14.82
7,14.52
8,14.45
9,14.73
10,14.90
11,14.77
12,14.57
13,14.79
14,14.78
15,14.53
16,15.01
17,55.88
18,77.03
19,73.39
20,106.50
21,106.24
22,106.50
23,106.90
24,106.84
25,106.60
26,106.58
27,106.58
28,106.40
29,106.87
30,107.06
31,106.84
32,106.93
33,107.26
34,107.08
35,106.99
36,106.96
37,107.06
38,107.04
39,90.57
40,70.86
41,62.07
42,59.26
43,56.47
44,56.33
45,56.39
46,56.42
47,56.43
48,56.26
49,56.12
50,56.33
51,56.40
52,56.46
53,56.69
54,56.84
55,64.42
56,124.86
57,127.75
58,127.52
59,128.05
60,127.75
61,127.88
62,128.34
63,128.34
64,128.07
65,128.16
66,128.73
67,118.84
68,71.96
69,62.45
70,58.95
71,55.58
72,55.60
73,55.67
74,55.81
75,55.88
76,55.82
77,55.99
78,56.24
79,56.33
80,56.29
81,56.24
82,56.39
83,56.46
84,97.88
85,157.92
86,158.05
87,158.03
88,158.54
89,158.95
90,158.99
91,158.02
92,158.05
93,158.18
94,157.93
95,157.98
96,158.20
97,158.18
98,106.01
99,80.81
100,64.12
101,60.15
102,56.55
103,56.66
104,56.42
105,56.24
106,56.16
107,56.05
108,55.98
109,56.01
110,55.94
111,55.80
112,55.69
113,55.85
114,55.98
115,179.24
116,179.34
117,179.32
118,179.70
119,180.08
120,180.11
121,180.77
122,180.51
123,180.28
124,180.51
125,180.57
126,180.62
127,180.74
128,180.41
129,180.52
130,180.35
131,83.79
132,83.79
133,63.18
134,59.23
135,55.52
136,55.71
137,55.89
138,55.99
139,56.03
140,55.93
141,55.92
142,55.99
143,55.94
144,55.88
145,55.92
146,55.92
147,119.38
148,153.04
149,155.12
150,159.55
151,160.75
152,162.98
153,164.01
154,164.91
155,165.73
156,166.16
157,166.50
158,166.66
159,166.60
160,166.53
161,166.77
162,167.03
163,167.54
164,167.03
165,167.14
166,108.03
167,80.31
168,63.55
169,59.83
170,56.58
171,56.79
172,56.81
173,56.86
174,56.77
175,56.80
176,57.02
177,57.06
178,56.96
179,56.86
180,56.87
181,57.08
182,75.42
183,181.96
184,185.30
185,189.47
186,191.59
187,193.39
188,195.14
189,195.35
190,196.24
191,196.62
192,196.65
193,196.76
194,197.08
195,197.31
196,111.72
197,87.91
198,64.83
199,60.63
200,56.75
201,56.90
202,56.82
203,56.55
204,56.25
205,56.33
206,56.57
207,56.58
208,56.51
209,56.36
210,56.22
211,57.09
212,98.88
213,207.76
214,215.33
215,220.26
216,221.57
217,224.08
218,225.21
219,225.62
220,226.40
221,226.97
222,227.94
223,228.41
224,229.26
225,229.35
226,229.94
227,230.67
228,175.75
229,86.71
230,64.62
231,60.99
232,57.39
233,57.21
234,57.14
235,56.92
236,56.67
237,56.54
238,56.49
239,56.55
240,56.66
241,56.69
242,56.67
243,57.03
244,68.13
245,239.93
246,256.11
247,262.35
248,264.18
249,266.38
250,266.12
251,265.70
252,262.50
253,261.41
254,259.98
255,260.26
256,259.48
257,259.77
258,259.76
259,259.40
260,228.15
261,88.50
262,64.01
263,60.51
264,57.58
265,57.63
266,57.35
267,57.23
268,57.23
269,57.26
270,57.26
271,57.36
272,57.21
273,56.90
274,56.83
275,56.77
276,57.15
277,57.06
278,188.02
279,248.21
280,256.22
281,261.93
282,265.68
283,267.11
284,267.05
285,267.05
286,267.58
287,270.33
288,270.40
289,270.64
290,269.27
291,268.96
292,268.16
293,268.12
294,267.42
295,268.47
296,267.67
297,140.62
298,86.09
299,65.95
300,61.62
301,57.43
302,57.29
303,56.99
304,56.73
305,56.65
306,56.60
307,56.43
308,56.34
309,56.26
310,56.20
311,56.27
312,56.64
313,56.81
314,56.45
315,192.47
316,288.01
317,293.71
318,295.39
319,299.37
320,301.41
321,302.89
322,304.14
323,304.97
324,306.32
325,305.99
326,306.67
327,306.99
328,307.21
329,306.51
330,306.64
331,306.05
332,163.21
333,98.44
334,65.37
335,61.50
336,57.70
337,57.45
338,57.10
339,56.84
340,56.98
341,56.97
342,56.87
343,56.91
344,57.01
345,57.28
346,57.36
347,57.50
348,65.80
349,64.43
350,134.15
351,303.84
352,309.24
353,314.52
354,317.65
355,319.76
356,321.77
357,322.76
358,322.17
359,325.46
360,325.70
361,326.69
362,326.68
363,328.74
364,328.70
365,328.61
366,328.62
367,115.57
368,66.85
369,62.22
370,57.54
371,57.54
372,57.39
373,57.13
374,57.04
375,57.01
376,56.72
377,56.71
378,56.96
379,56.88
380,56.72
381,56.68
382,56.54
383,63.20
384,67.85
385,111.35
386,309.24
387,317.22
388,320.79
389,323.44
390,327.26
391,327.88
392,331.58
393,331.77
394,326.62
395,336.46
396,337.71
397,338.66
398,338.64
399,338.92
400,340.46
401,340.98
402,341.30
403,122.45
404,97.21
405,66.99
406,62.73
407,58.52
408,58.30
409,58.12
410,57.14
411,56.93
412,57.08
413,57.10
414,57.24
415,57.41
416,57.41
417,56.98
418,56.92
419,41.07
