time,gpu,total
0,20.81,132.43
1,16.81,158.69
2,16.47,121.61
3,16.27,127.89
4,16.34,128.01
5,16.91,136.38
6,17.24,139.57
7,17.12,132.54
8,17.16,133.91
9,16.97,141.88
10,16.63,146.91
11,16.42,155.96
12,16.15,145.37
13,15.93,136.29
14,15.51,140.06
15,15.35,144.28
16,15.64,306.24
17,15.71,160.12
18,16.23,178.37
19,16.08,164.51
20,15.92,180.71
21,15.78,166.15
22,15.64,171.14
23,15.37,162.57
24,15.14,154.34
25,15.35,166.16
26,15.51,165.90
27,15.15,165.44
28,14.72,166.97
29,14.61,124.11
30,14.66,123.14
31,14.44,131.72
32,14.16,129.20
33,14.23,120.19
34,13.91,133.24
35,13.81,125.21
36,14.35,125.54
37,14.63,127.56
38,14.71,118.83
39,15.05,129.35
40,15.41,121.20
41,15.40,126.76
42,15.17,135.74
43,15.05,154.57
44,14.94,175.67
45,14.71,159.03
46,14.53,157.21
47,14.57,160.35
48,14.77,160.49
49,15.00,147.99
50,15.46,159.77
51,15.83,161.31
52,15.88,167.72
53,15.98,165.55
54,16.01,170.72
55,15.94,131.38
56,15.79,124.10
57,15.51,127.04
58,15.44,126.34
59,15.41,141.67
60,15.53,131.43
61,15.76,133.34
62,15.66,130.92
63,15.60,131.40
64,15.64,123.18
65,15.79,127.17
66,15.70,129.01
67,15.51,139.98
68,15.40,143.13
69,15.70,122.43
70,16.00,163.07
71,15.78,164.64
72,15.60,161.00
73,15.85,159.33
74,16.27,169.06
75,16.18,153.05
76,16.12,164.68
77,16.17,173.55
78,15.93,163.44
79,15.61,161.13
80,15.29,164.96
81,15.05,159.27
82,15.14,131.79
83,15.23,126.09
84,15.04,142.47
85,15.00,125.23
86,15.05,123.71
87,14.98,137.22
88,15.16,138.56
89,15.39,132.58
90,15.50,131.35
91,15.56,136.19
92,15.45,137.82
93,15.40,133.89
94,15.26,135.12
95,14.97,125.85
96,14.86,122.88
97,14.88,168.42
98,14.96,173.43
99,14.92,155.99
100,14.76,162.18
101,14.69,166.86
102,14.55,159.43
103,14.44,159.51
104,14.25,153.49
105,14.30,158.67
106,14.54,159.91
107,14.49,150.42
108,14.42,127.10
109,14.70,129.14
110,14.88,120.64
111,14.90,133.37
112,15.01,139.62
113,15.22,125.66
114,15.36,122.39
115,15.39,131.88
116,15.52,130.82
117,15.45,124.38
118,15.28,127.11
119,15.22,128.59
120,15.15,125.51
121,14.82,134.08
122,14.53,129.75
123,14.70,166.00
124,15.19,163.93
125,15.27,180.18
126,14.97,161.93
127,14.64,161.48
128,14.32,164.22
129,14.33,169.29
130,14.61,161.58
131,14.65,167.07
132,14.40,166.44
133,14.37,126.78
134,14.33,122.70
135,14.51,138.87
136,14.82,127.59
137,14.76,134.19
138,14.62,144.04
139,14.58,124.92
140,14.55,126.22
141,14.55,132.06
142,14.65,125.00
143,14.64,107.99
144,14.61,142.44
145,14.66,132.10
146,14.74,128.85
147,14.66,169.02
148,14.36,168.69
149,14.24,181.01
150,14.45,148.37
151,14.61,168.11
152,14.87,166.22
153,15.17,163.34
154,14.97,142.94
155,14.68,181.64
156,14.63,151.35
157,14.64,123.95
158,14.81,129.46
159,14.99,129.16
160,14.94,131.26
161,14.97,129.86
162,15.18,132.64
163,15.43,130.85
164,15.73,129.27
165,15.91,136.49
166,15.79,137.81
167,15.50,136.63
168,15.10,136.63
169,15.19,141.31
170,15.50,130.16
171,15.37,132.90
172,15.10,118.43
173,14.89,148.15
174,14.81,150.69
175,14.70,154.53
176,14.74,157.05
177,15.09,158.06
178,15.32,162.73
179,15.37,157.44
180,15.43,159.98
181,15.53,161.97
182,15.31,159.97
183,15.31,138.42
184,15.48,120.47
185,15.45,122.95
186,15.51,127.63
187,15.11,120.41
188,14.92,133.46
189,15.12,128.75
190,15.19,127.98
191,15.51,127.68
192,15.69,127.27
193,15.48,125.98
194,15.55,125.98
195,15.69,125.96
196,15.73,133.39
197,15.76,132.73
198,15.48,151.69
199,15.21,165.34
200,14.81,167.77
201,14.54,171.49
202,14.56,169.89
203,14.42,170.72
204,14.37,161.94
205,14.65,174.31
206,14.77,165.10
207,14.62,164.47
208,14.91,142.42
209,15.30,153.77
210,15.33,140.75
211,15.50,133.62
212,15.63,123.54
213,15.50,150.74
214,15.28,126.45
215,15.26,126.91
216,15.32,126.65
217,15.16,140.60
218,15.05,137.94
219,15.14,124.74
220,14.90,137.28
221,14.38,128.15
222,14.19,130.14
223,14.28,164.35
224,14.76,157.65
225,15.06,160.91
226,14.91,168.82
227,14.82,160.53
228,14.77,172.82
229,14.98,168.13
230,15.18,158.95
231,14.89,157.88
232,14.95,144.94
233,15.11,135.98
234,14.82,129.33
235,14.43,124.78
236,14.37,125.94
237,14.72,131.78
238,14.62,126.12
239,14.42,123.70
240,14.73,116.51
241,15.17,120.67
242,15.11,129.12
243,14.88,135.80
244,15.02,120.34
245,14.84,128.82
246,14.54,134.34
247,14.57,127.19
248,14.60,155.18
249,14.53,142.90
250,14.47,156.72
251,14.50,173.30
252,14.75,159.17
253,14.90,161.38
254,15.00,162.89
255,15.07,167.43
256,15.06,173.38
257,15.32,167.10
258,15.43,131.42
259,15.23,128.78
260,15.22,133.83
261,15.36,136.21
262,14.86,123.65
263,14.27,122.95
264,14.39,134.74
265,14.47,127.40
266,14.48,133.57
267,14.54,122.54
268,14.74,132.17
269,14.97,125.57
270,14.98,134.82
271,15.12,134.14
272,15.23,125.46
273,15.20,165.41
274,14.96,164.97
275,14.88,157.62
276,14.91,163.04
277,14.66,160.95
278,14.53,158.91
279,14.58,166.16
280,14.69,159.40
281,14.82,155.20
282,14.93,125.29
283,14.81,125.29
284,14.72,121.05
285,14.93,134.58
286,14.99,125.14
287,14.83,128.09
288,14.52,118.34
289,14.16,124.71
290,13.86,124.92
291,13.97,124.85
292,14.43,123.42
293,14.85,121.97
294,14.95,131.75
295,15.04,134.32
296,15.02,125.97
297,14.93,165.18
298,14.88,160.90
299,14.77,146.40
300,14.81,175.21
301,14.62,168.94
302,14.64,166.94
303,14.99,158.31
304,15.11,152.66
305,15.40,165.94
306,15.56,122.56
307,15.19,130.14
308,15.02,125.02
309,15.24,121.86
310,15.27,140.84
311,14.95,136.32
312,14.63,128.82
313,14.43,125.19
314,14.55,129.69
315,14.86,137.97
316,15.14,128.31
317,15.28,127.63
318,15.51,124.96
319,15.42,144.87
320,15.16,131.92
