time,power
1,147.24
2,136.11
3,153.69
4,142.52
5,135.57
6,157.43
7,146.17
8,138.21
9,142.36
10,145.65
11,140.15
12,145.00
13,145.61
14,149.19
15,146.43
16,144.60
17,217.67
18,201.47
19,211.25
20,230.52
21,242.59
22,278.87
23,265.85
24,259.82
25,256.97
26,262.76
27,252.40
28,241.32
29,255.14
30,262.51
31,237.10
32,249.41
33,262.46
34,239.87
35,233.74
36,263.50
37,222.77
38,245.89
39,260.31
40,198.79
41,198.62
42,210.11
43,186.42
44,191.85
45,188.69
46,205.95
47,163.91
48,180.27
49,200.70
50,191.62
51,187.60
52,188.58
53,182.14
54,217.45
55,222.88
56,273.13
57,266.39
58,257.72
59,302.05
60,255.94
61,290.21
62,268.65
63,272.73
64,279.47
65,276.35
66,311.98
67,294.33
68,204.12
69,208.63
70,209.18
71,212.74
72,194.01
73,202.40
74,176.33
75,204.62
76,208.53
77,168.40
78,191.61
79,217.36
80,189.33
81,179.85
82,164.87
83,188.26
84,206.96
85,299.89
86,297.53
87,314.36
88,296.01
89,248.53
90,339.68
91,307.56
92,272.80
93,334.66
94,322.38
95,306.94
96,323.53
97,319.57
98,308.85
99,214.22
100,182.07
101,215.69
102,169.78
103,175.68
104,187.80
105,176.82
106,195.23
107,189.58
108,168.14
109,179.30
110,189.91
111,192.76
112,200.83
113,193.84
114,188.70
115,366.51
116,345.04
117,345.04
118,334.20
119,325.48
120,328.09
121,294.32
122,318.93
123,332.82
124,319.59
125,323.54
126,327.94
127,330.13
128,336.47
129,316.98
130,332.71
131,200.20
132,200.20
133,195.12
134,192.73
135,178.47
136,192.14
137,184.88
138,197.91
139,194.88
140,185.55
141,190.34
142,179.98
143,204.82
144,214.08
145,207.37
146,191.43
147,298.73
148,298.73
149,295.68
150,323.27
151,323.27
152,310.18
153,304.15
154,334.51
155,301.16
156,294.45
157,340.15
158,327.60
159,324.21
160,316.42
161,322.78
162,307.98
163,307.98
164,315.65
165,312.09
166,338.56
167,205.66
168,210.34
169,192.88
170,182.16
171,208.29
172,196.71
173,186.43
174,192.03
175,196.24
176,191.55
177,185.18
178,191.34
179,189.77
180,192.53
181,184.27
182,203.86
183,344.97
184,322.01
185,355.33
186,372.95
187,331.47
188,350.27
189,350.63
190,348.64
191,356.81
192,336.82
193,349.32
194,349.92
195,360.65
196,349.22
197,189.58
198,183.61
199,188.50
200,209.79
201,182.29
202,185.17
203,212.41
204,187.66
205,190.09
206,179.97
207,195.58
208,181.28
209,193.10
210,182.87
211,199.06
212,185.41
213,357.55
214,368.61
215,372.65
216,377.72
217,386.87
218,373.44
219,365.30
220,362.59
221,373.89
222,365.70
223,395.64
224,387.79
225,380.62
226,379.81
227,389.20
228,386.16
229,203.60
230,179.00
231,197.26
232,186.15
233,191.90
234,186.44
235,201.41
236,194.41
237,194.36
238,184.62
239,192.01
240,200.59
241,196.86
242,195.40
243,193.36
244,201.19
245,418.21
246,410.76
247,412.47
248,439.57
249,391.02
250,431.68
251,425.07
252,424.32
253,406.85
254,421.01
255,416.32
256,423.81
257,448.21
258,429.71
259,397.76
260,406.75
261,191.80
262,179.85
263,193.60
264,186.65
265,188.66
266,191.79
267,194.52
268,192.59
269,176.93
270,205.24
271,185.13
272,199.11
273,187.81
274,181.61
275,201.87
276,207.46
277,207.95
278,307.93
279,397.81
280,409.05
281,412.77
282,420.71
283,432.82
284,431.49
285,429.17
286,441.96
287,415.88
288,427.84
289,425.42
290,429.31
291,428.65
292,436.10
293,435.03
294,424.78
295,424.83
296,430.71
297,419.53
298,208.88
299,214.30
300,192.80
301,175.97
302,189.40
303,210.75
304,195.75
305,192.98
306,191.54
307,194.08
308,200.26
309,180.05
310,185.66
311,188.69
312,189.54
313,213.57
314,202.76
315,193.25
316,438.27
317,478.44
318,478.44
319,456.40
320,458.76
321,460.83
322,458.20
323,436.75
324,436.75
325,460.34
326,463.39
327,472.63
328,468.43
329,457.92
330,463.51
331,453.65
332,464.42
333,221.01
334,223.76
335,192.07
336,185.83
337,200.76
338,196.77
339,194.59
340,191.68
341,193.64
342,200.69
343,195.83
344,186.52
345,206.98
346,199.47
347,186.69
348,176.62
349,207.84
350,207.60
351,466.18
352,480.26
353,475.32
354,466.95
355,484.68
356,472.02
357,466.89
358,484.88
359,470.64
360,527.58
361,493.69
362,471.08
363,472.36
364,469.51
365,509.31
366,490.53
367,397.88
368,212.10
369,211.42
370,199.67
371,195.02
372,190.61
373,205.17
374,186.82
375,202.34
376,187.42
377,186.60
378,192.15
379,192.36
380,172.34
381,188.10
382,215.93
383,196.56
384,220.52
385,207.24
386,493.85
387,469.73
388,490.66
389,499.54
390,464.82
391,510.28
392,482.09
393,508.51
394,465.06
395,511.17
396,461.97
397,509.41
398,506.79
399,490.77
400,504.49
401,511.30
402,507.34
403,193.91
404,210.69
405,163.10
406,202.35
407,185.67
408,184.56
409,195.11
410,191.78
411,198.59
412,196.89
413,195.50
414,182.11
415,199.35
416,173.10
417,189.45
418,200.69
419,194.08
