time,gpu,total,is_running,n_atoms,tps
0,12.81,155.29925537109375,False,,
1,13.0,139.29347229003906,False,,
2,12.79,141.2440643310547,False,,
3,12.61,132.50735473632812,False,,
4,12.61,131.44813537597656,False,,
5,12.64,138.4952850341797,False,,
6,12.68,135.97586059570312,False,,
7,12.56,123.94348907470703,False,,
8,12.63,134.85382080078125,False,,
9,12.74,134.69158935546875,False,,
10,12.79,110.20664978027344,False,,
11,12.76,133.2789306640625,False,,
12,12.57,153.44427490234375,False,,
13,12.62,223.76950073242188,True,512,
14,70.65,203.27078247070312,True,512,
15,74.24,216.375732421875,True,512,
16,100.25,241.0484619140625,True,512,
17,100.55,228.75050354003906,True,512,
18,100.64,230.34286499023438,True,512,
19,100.13,270.5393981933594,True,512,
20,99.95,267.78448486328125,True,512,
21,100.11,245.72303771972656,True,512,
22,100.39,252.6078338623047,True,512,
23,100.32,225.11936950683594,True,512,
24,100.58,249.03866577148438,True,512,
25,100.57,254.07568359375,True,512,
26,101.11,263.1371765136719,True,512,
27,101.0,246.2681121826172,True,512,
28,101.12,262.6332702636719,True,512,
29,101.41,243.8810272216797,True,512,
30,100.83,279.2867736816406,True,512,
31,100.82,243.2374725341797,True,512,
32,100.58,250.54647827148438,True,512,
33,100.93,244.79383850097656,True,512,
34,100.73,279.7276916503906,True,512,
35,100.41,240.8176727294922,True,512,
36,100.53,226.7692413330078,True,512,
37,100.5,248.1092987060547,True,512,
38,100.58,261.45025634765625,True,512,
39,100.83,248.35899353027344,True,512,
40,100.68,246.09280395507812,True,512,
41,100.82,232.1896514892578,True,512,
42,100.88,282.1182556152344,True,512,
43,101.36,237.50535583496094,True,512,
44,101.19,234.80494689941406,True,512,
45,100.97,237.81480407714844,True,512,
46,100.86,268.8047790527344,False,512,84402.23328481251
47,78.62,177.8577423095703,False,512,84402.23328481251
48,67.67,184.6573944091797,False,512,84402.23328481251
49,59.97,157.11093139648438,False,512,84402.23328481251
50,54.01,177.4987030029297,False,512,84402.23328481251
51,54.01,266.1933898925781,False,512,84402.23328481251
52,54.09,171.7799835205078,False,512,84402.23328481251
53,54.16,163.18995666503906,False,512,84402.23328481251
54,54.04,171.31753540039062,False,512,84402.23328481251
55,53.78,180.13763427734375,False,512,84402.23328481251
56,53.81,212.25405883789062,False,512,84402.23328481251
57,53.83,172.8720245361328,False,512,84402.23328481251
58,53.97,179.90399169921875,True,1024,84402.23328481251
59,57.9,232.03929138183594,True,1024,84402.23328481251
60,123.62,283.2223815917969,True,1024,84402.23328481251
61,125.43,281.4033508300781,True,1024,84402.23328481251
62,125.67,260.3728942871094,True,1024,84402.23328481251
63,125.72,273.596923828125,True,1024,84402.23328481251
64,126.09,292.11761474609375,True,1024,84402.23328481251
65,125.79,298.8443298339844,True,1024,84402.23328481251
66,125.71,298.2611389160156,True,1024,84402.23328481251
67,125.04,269.5440368652344,True,1024,84402.23328481251
68,125.35,252.58419799804688,True,1024,84402.23328481251
69,126.34,295.2736511230469,True,1024,84402.23328481251
70,126.49,273.9903259277344,True,1024,84402.23328481251
71,126.28,272.10235595703125,True,1024,84402.23328481251
72,126.08,273.5260009765625,True,1024,84402.23328481251
73,126.11,268.64813232421875,True,1024,84402.23328481251
74,126.5,252.0526885986328,True,1024,84402.23328481251
75,126.87,253.47193908691406,True,1024,84402.23328481251
76,126.73,277.16021728515625,True,1024,84402.23328481251
77,126.73,267.8848571777344,True,1024,84402.23328481251
78,126.83,255.1979522705078,True,1024,84402.23328481251
79,126.88,196.2474365234375,False,1024,67078.34006959684
80,70.22,170.11663818359375,False,1024,67078.34006959684
81,60.89,163.62283325195312,False,1024,67078.34006959684
82,58.03,156.35494995117188,False,1024,67078.34006959684
83,55.39,228.32058715820312,False,1024,67078.34006959684
84,55.52,195.67959594726562,False,1024,67078.34006959684
85,55.81,170.9649200439453,False,1024,67078.34006959684
86,55.86,154.18045043945312,False,1024,67078.34006959684
87,55.7,185.16702270507812,False,1024,67078.34006959684
88,55.74,198.5137481689453,False,1024,67078.34006959684
89,55.8,183.21290588378906,False,1024,67078.34006959684
90,55.22,150.006103515625,False,1024,67078.34006959684
91,55.12,184.9766387939453,True,2048,67078.34006959684
92,82.66,297.7277526855469,True,2048,67078.34006959684
93,154.93,322.7584533691406,True,2048,67078.34006959684
94,156.26,317.14764404296875,True,2048,67078.34006959684
95,156.12,338.6033630371094,True,2048,67078.34006959684
96,156.66,281.43743896484375,True,2048,67078.34006959684
97,158.01,328.9662780761719,True,2048,67078.34006959684
98,158.51,264.69561767578125,True,2048,67078.34006959684
99,158.62,291.5072937011719,True,2048,67078.34006959684
100,158.71,314.0830993652344,True,2048,67078.34006959684
101,158.7,308.9925842285156,True,2048,67078.34006959684
102,158.98,278.66094970703125,True,2048,67078.34006959684
103,158.0,286.6581115722656,True,2048,67078.34006959684
104,157.41,316.75732421875,True,2048,67078.34006959684
105,157.26,307.68975830078125,True,2048,67078.34006959684
106,157.39,306.3777160644531,True,2048,67078.34006959684
107,157.64,284.6881408691406,True,2048,67078.34006959684
108,157.51,314.97479248046875,True,2048,67078.34006959684
109,157.6,288.4613037109375,True,2048,67078.34006959684
110,157.56,314.9894104003906,True,2048,67078.34006959684
111,157.49,311.9515686035156,True,2048,67078.34006959684
112,157.38,333.33233642578125,True,2048,67078.34006959684
113,157.63,307.77410888671875,True,2048,67078.34006959684
114,157.49,199.71942138671875,False,2048,48204.06895168951
115,76.75,204.06825256347656,False,2048,48204.06895168951
116,62.03,205.19712829589844,False,2048,48204.06895168951
117,58.25,187.6300811767578,False,2048,48204.06895168951
118,54.49,151.50100708007812,False,2048,48204.06895168951
119,54.58,172.51231384277344,False,2048,48204.06895168951
120,54.5,168.46205139160156,False,2048,48204.06895168951
121,54.3,188.8084259033203,False,2048,48204.06895168951
122,54.6,146.55523681640625,False,2048,48204.06895168951
123,54.93,206.37783813476562,False,2048,48204.06895168951
124,55.05,201.44207763671875,False,2048,48204.06895168951
125,55.07,170.92318725585938,False,2048,48204.06895168951
126,55.53,189.0500946044922,True,4096,48204.06895168951
127,89.62,320.40625,True,4096,48204.06895168951
128,176.4,327.1368103027344,True,4096,48204.06895168951
129,177.8,326.6690673828125,True,4096,48204.06895168951
130,177.69,340.1893005371094,True,4096,48204.06895168951
131,177.61,316.36126708984375,True,4096,48204.06895168951
132,178.08,325.0718078613281,True,4096,48204.06895168951
133,178.53,356.00531005859375,True,4096,48204.06895168951
134,178.63,345.96612548828125,True,4096,48204.06895168951
135,178.88,323.63079833984375,True,4096,48204.06895168951
136,178.48,319.651123046875,True,4096,48204.06895168951
137,178.64,338.9330139160156,True,4096,48204.06895168951
138,178.79,326.1600036621094,True,4096,48204.06895168951
139,178.18,324.7144775390625,True,4096,48204.06895168951
140,178.37,322.4339904785156,True,4096,48204.06895168951
141,179.07,317.825927734375,True,4096,48204.06895168951
142,179.03,295.78692626953125,True,4096,48204.06895168951
143,178.61,360.7926025390625,True,4096,48204.06895168951
144,178.94,301.6416931152344,True,4096,48204.06895168951
145,179.17,341.4495544433594,True,4096,48204.06895168951
146,179.21,335.0190734863281,True,4096,48204.06895168951
147,179.41,310.7205810546875,True,4096,48204.06895168951
148,179.46,330.7238464355469,True,4096,48204.06895168951
149,179.93,309.4111633300781,True,4096,48204.06895168951
150,180.6,329.2807312011719,True,4096,48204.06895168951
151,179.89,312.2740783691406,True,4096,48204.06895168951
152,180.15,308.5185852050781,False,4096,29859.68852634745
153,134.37,194.3961944580078,False,4096,29859.68852634745
154,81.13,174.0775146484375,False,4096,29859.68852634745
155,58.43,178.5689697265625,False,4096,29859.68852634745
156,54.56,260.8511962890625,False,4096,29859.68852634745
157,54.51,187.52870178222656,False,4096,29859.68852634745
158,54.48,167.36390686035156,False,4096,29859.68852634745
159,54.32,176.31887817382812,False,4096,29859.68852634745
160,54.25,187.58203125,False,4096,29859.68852634745
161,54.19,169.2311553955078,False,4096,29859.68852634745
162,54.24,175.4949493408203,False,4096,29859.68852634745
163,54.33,186.52529907226562,False,4096,29859.68852634745
164,54.27,184.41754150390625,True,8192,29859.68852634745
165,54.41,196.82347106933594,True,8192,29859.68852634745
166,122.53,291.79998779296875,True,8192,29859.68852634745
167,150.8,296.81878662109375,True,8192,29859.68852634745
168,154.19,298.1263427734375,True,8192,29859.68852634745
169,156.67,315.8653869628906,True,8192,29859.68852634745
170,158.35,318.8356018066406,True,8192,29859.68852634745
171,159.73,312.0272216796875,True,8192,29859.68852634745
172,160.1,314.88409423828125,True,8192,29859.68852634745
173,160.13,300.7329406738281,True,8192,29859.68852634745
174,160.59,297.6028747558594,True,8192,29859.68852634745
175,160.71,317.75567626953125,True,8192,29859.68852634745
176,160.75,311.3983154296875,True,8192,29859.68852634745
177,160.92,305.7360534667969,True,8192,29859.68852634745
178,161.24,301.9164733886719,True,8192,29859.68852634745
179,161.25,298.8709411621094,True,8192,29859.68852634745
180,161.44,307.0126953125,True,8192,29859.68852634745
181,161.79,306.6342468261719,True,8192,29859.68852634745
182,161.53,316.1304931640625,True,8192,29859.68852634745
183,161.52,324.74151611328125,True,8192,29859.68852634745
184,161.38,324.98297119140625,True,8192,29859.68852634745
185,161.24,317.37908935546875,True,8192,29859.68852634745
186,161.41,308.8042297363281,True,8192,29859.68852634745
187,161.37,321.22198486328125,True,8192,29859.68852634745
188,161.37,302.2357482910156,True,8192,29859.68852634745
189,161.51,310.9459533691406,True,8192,29859.68852634745
190,161.38,311.2986755371094,True,8192,29859.68852634745
191,161.44,311.26318359375,True,8192,29859.68852634745
192,161.94,321.63507080078125,True,8192,29859.68852634745
193,161.96,308.7314453125,True,8192,29859.68852634745
194,161.99,212.9797821044922,True,8192,29859.68852634745
195,161.74,302.67138671875,False,8192,15424.945917206938
196,111.8,188.3028106689453,False,8192,15424.945917206938
197,76.0,167.40866088867188,False,8192,15424.945917206938
198,61.23,168.48976135253906,False,8192,15424.945917206938
199,54.65,169.3304901123047,False,8192,15424.945917206938
200,54.7,203.2943572998047,False,8192,15424.945917206938
201,54.67,187.9088134765625,False,8192,15424.945917206938
202,54.49,172.4721221923828,False,8192,15424.945917206938
203,54.39,182.77525329589844,False,8192,15424.945917206938
204,54.38,193.93780517578125,False,8192,15424.945917206938
205,54.32,172.6582794189453,False,8192,15424.945917206938
206,54.3,186.34915161132812,False,8192,15424.945917206938
207,54.33,183.32296752929688,False,8192,15424.945917206938
208,54.4,184.03282165527344,True,16384,15424.945917206938
209,123.31,323.3452453613281,True,16384,15424.945917206938
210,179.95,319.8589172363281,True,16384,15424.945917206938
211,183.68,316.23614501953125,True,16384,15424.945917206938
212,186.94,340.2997131347656,True,16384,15424.945917206938
213,189.79,334.15716552734375,True,16384,15424.945917206938
214,190.91,313.517822265625,True,16384,15424.945917206938
215,191.31,301.6038818359375,True,16384,15424.945917206938
216,190.9,330.8787536621094,True,16384,15424.945917206938
217,191.03,337.6841735839844,True,16384,15424.945917206938
218,192.21,342.0531005859375,True,16384,15424.945917206938
219,192.1,334.5831298828125,True,16384,15424.945917206938
220,192.51,325.2312316894531,True,16384,15424.945917206938
221,193.03,350.67401123046875,True,16384,15424.945917206938
222,192.44,334.3763122558594,True,16384,15424.945917206938
223,192.77,333.5196838378906,True,16384,15424.945917206938
224,192.59,320.3424987792969,True,16384,15424.945917206938
225,192.28,335.9162902832031,True,16384,15424.945917206938
226,192.11,348.6691589355469,True,16384,15424.945917206938
227,192.01,311.0240478515625,True,16384,15424.945917206938
228,192.01,347.3183288574219,True,16384,15424.945917206938
229,192.31,334.5225524902344,True,16384,15424.945917206938
230,192.2,335.0690002441406,False,16384,11072.565438639906
231,123.42,193.363037109375,False,16384,11072.565438639906
232,76.69,189.04884338378906,False,16384,11072.565438639906
233,58.27,160.2984619140625,False,16384,11072.565438639906
234,54.32,181.65545654296875,False,16384,11072.565438639906
