time,gpu,total,is_running,n_atoms,tps
0,12.23,172.54293823242188,False,,
1,12.22,127.58523559570312,False,,
2,12.55,154.20700073242188,False,,
3,12.81,150.99082946777344,False,,
4,12.81,130.3315887451172,False,,
5,12.71,141.93394470214844,False,,
6,12.64,158.14280700683594,False,,
7,13.0,144.58206176757812,False,,
8,13.02,130.27969360351562,False,,
9,13.15,119.1319808959961,False,,
10,13.12,134.540283203125,False,,
11,12.94,153.37220764160156,False,,
12,12.91,129.47276306152344,True,512,
13,13.12,143.56214904785156,True,512,
14,13.16,214.32179260253906,True,512,
15,13.17,201.82711791992188,True,512,
16,13.12,213.70947265625,True,512,
17,13.09,209.3644256591797,True,512,
18,13.11,219.904052734375,True,512,
19,13.12,210.79649353027344,True,512,
20,13.37,202.79530334472656,True,512,
21,13.44,213.18710327148438,True,512,
22,13.24,215.01904296875,False,512,35837.91757051029
23,13.24,148.25497436523438,False,512,35837.91757051029
24,13.25,130.52685546875,False,512,35837.91757051029
25,13.06,130.9822235107422,False,512,35837.91757051029
26,12.8,155.23350524902344,False,512,35837.91757051029
27,12.85,143.6034393310547,False,512,35837.91757051029
28,12.83,140.0092010498047,False,512,35837.91757051029
29,12.78,127.28462219238281,False,512,35837.91757051029
30,12.81,136.84832763671875,False,512,35837.91757051029
31,12.66,143.04505920410156,False,512,35837.91757051029
32,12.69,128.7069549560547,False,512,35837.91757051029
33,12.83,123.55904388427734,False,512,35837.91757051029
34,12.6,142.98733520507812,True,1024,35837.91757051029
35,13.01,207.94227600097656,True,1024,35837.91757051029
36,12.97,214.80953979492188,True,1024,35837.91757051029
37,12.94,213.9031524658203,True,1024,35837.91757051029
38,12.72,212.6907196044922,True,1024,35837.91757051029
39,12.85,223.25558471679688,True,1024,35837.91757051029
40,12.81,211.579833984375,True,1024,35837.91757051029
41,12.77,217.63763427734375,True,1024,35837.91757051029
42,13.14,207.61752319335938,True,1024,35837.91757051029
43,12.81,214.36093139648438,True,1024,35837.91757051029
44,12.95,216.02928161621094,True,1024,35837.91757051029
45,13.35,217.14923095703125,True,1024,35837.91757051029
46,13.4,214.35592651367188,True,1024,35837.91757051029
47,13.52,221.58152770996094,False,1024,22283.769572893885
48,13.53,130.371337890625,False,1024,22283.769572893885
49,13.47,131.0945281982422,False,1024,22283.769572893885
50,13.19,151.83096313476562,False,1024,22283.769572893885
51,13.34,155.54759216308594,False,1024,22283.769572893885
52,13.56,133.41065979003906,False,1024,22283.769572893885
53,13.46,141.8131103515625,False,1024,22283.769572893885
54,13.6,150.7715301513672,False,1024,22283.769572893885
55,13.66,142.45742797851562,False,1024,22283.769572893885
56,13.58,141.40650939941406,False,1024,22283.769572893885
57,13.24,140.562744140625,False,1024,22283.769572893885
58,13.37,149.6499786376953,False,1024,22283.769572893885
59,13.53,144.04275512695312,True,2048,22283.769572893885
60,13.45,201.15521240234375,True,2048,22283.769572893885
61,13.46,216.84033203125,True,2048,22283.769572893885
62,13.43,213.90908813476562,True,2048,22283.769572893885
63,13.41,209.80545043945312,True,2048,22283.769572893885
64,13.53,195.54446411132812,True,2048,22283.769572893885
65,13.71,207.49685668945312,True,2048,22283.769572893885
66,13.52,214.10777282714844,True,2048,22283.769572893885
67,13.34,217.60723876953125,True,2048,22283.769572893885
68,13.11,207.32704162597656,True,2048,22283.769572893885
69,13.1,214.34141540527344,True,2048,22283.769572893885
70,12.97,203.98182678222656,True,2048,22283.769572893885
71,13.63,157.10498046875,False,2048,15309.115277443612
72,13.65,126.87456512451172,False,2048,15309.115277443612
73,13.35,135.16876220703125,False,2048,15309.115277443612
74,13.46,146.02549743652344,False,2048,15309.115277443612
75,13.44,158.96629333496094,False,2048,15309.115277443612
76,13.46,133.85804748535156,False,2048,15309.115277443612
77,13.55,149.4428253173828,False,2048,15309.115277443612
78,13.52,142.75006103515625,False,2048,15309.115277443612
79,13.53,147.46206665039062,False,2048,15309.115277443612
80,13.5,126.76708984375,False,2048,15309.115277443612
81,12.98,119.5505599975586,False,2048,15309.115277443612
82,12.83,143.67645263671875,False,2048,15309.115277443612
83,13.17,154.23025512695312,True,4096,15309.115277443612
84,13.69,207.8605194091797,True,4096,15309.115277443612
85,13.69,219.1113739013672,True,4096,15309.115277443612
86,13.35,191.7921142578125,True,4096,15309.115277443612
87,13.04,213.5260772705078,True,4096,15309.115277443612
88,12.85,214.8586883544922,True,4096,15309.115277443612
89,13.01,216.3542938232422,True,4096,15309.115277443612
90,13.27,220.61412048339844,True,4096,15309.115277443612
91,13.8,206.91741943359375,True,4096,15309.115277443612
92,13.96,219.29937744140625,True,4096,15309.115277443612
93,13.89,211.9966583251953,True,4096,15309.115277443612
94,13.32,205.82241821289062,True,4096,15309.115277443612
95,13.58,201.9477996826172,True,4096,15309.115277443612
96,13.6,198.87542724609375,False,4096,8963.10440357266
97,13.22,148.63282775878906,False,4096,8963.10440357266
98,13.6,149.96229553222656,False,4096,8963.10440357266
99,13.64,156.39657592773438,False,4096,8963.10440357266
100,13.46,130.28221130371094,False,4096,8963.10440357266
