time,gpu,total
0,13.59,131.95
1,13.22,127.76
2,13.43,126.22
3,14.07,130.01
4,14.39,126.99
5,14.52,128.95
6,14.61,126.62
7,14.59,130.66
8,14.36,128.12
9,13.97,134.04
10,13.64,128.95
11,13.77,125.16
12,13.79,127.74
13,13.61,127.16
14,13.83,129.10
15,13.89,134.64
16,30.38,151.56
17,74.54,212.59
18,78.56,193.41
19,101.68,248.66
20,102.03,251.87
21,101.53,256.26
22,101.68,234.81
23,102.12,251.67
24,102.27,249.22
25,102.79,258.10
26,102.39,262.07
27,102.78,255.60
28,102.73,241.81
29,102.30,241.69
30,102.59,247.15
31,103.29,252.01
32,102.96,253.83
33,103.71,246.36
34,104.02,256.70
35,103.03,236.82
36,102.39,244.76
37,102.28,256.17
38,85.72,163.90
39,67.21,180.61
40,59.74,174.52
41,57.17,172.83
42,54.85,176.52
43,55.18,171.69
44,55.58,166.98
45,55.45,177.77
46,55.16,166.28
47,55.31,172.65
48,55.74,174.72
49,55.90,168.88
50,55.81,174.07
51,55.51,176.52
52,55.39,163.99
53,55.70,173.74
54,107.08,277.41
55,126.61,275.43
56,127.25,260.14
57,127.58,266.45
58,127.93,265.88
59,128.11,293.94
60,127.79,250.75
61,127.90,276.39
62,128.06,279.63
63,128.02,276.73
64,128.16,270.13
65,128.49,265.39
66,108.56,156.91
67,73.07,181.02
68,62.64,173.15
69,58.77,187.76
70,55.00,150.35
71,54.97,153.88
72,55.06,179.16
73,55.20,165.27
74,55.22,162.03
75,55.26,153.09
76,55.32,152.82
77,55.25,180.19
78,55.12,166.36
79,55.27,165.09
80,55.24,165.29
81,55.37,194.66
82,108.35,301.72
83,160.23,298.14
84,160.49,309.67
85,160.67,298.81
86,160.81,302.40
87,160.68,299.87
88,160.72,296.08
89,159.66,291.44
90,159.34,307.88
91,159.47,306.02
92,159.36,298.28
93,159.37,308.10
94,159.54,306.49
95,159.08,304.87
96,103.55,169.12
97,77.49,174.79
98,61.60,175.36
99,58.33,166.56
100,55.38,170.44
101,55.30,170.44
102,55.08,181.06
103,55.02,182.34
104,54.80,177.94
105,54.56,177.54
106,54.68,177.00
107,55.04,149.91
108,55.16,165.08
109,55.00,165.25
110,55.00,169.03
111,55.17,169.03
112,155.92,324.78
113,179.28,324.78
114,179.48,337.15
115,179.47,337.15
116,179.86,319.95
117,180.08,315.94
118,180.63,323.27
119,180.50,331.34
120,180.62,336.99
121,181.05,333.00
122,181.17,326.75
123,181.18,325.11
124,181.27,328.98
125,181.15,322.88
126,181.20,331.28
127,181.45,342.43
128,107.64,316.45
129,75.64,180.75
130,61.80,179.48
131,58.40,168.10
132,55.16,165.51
133,54.90,220.94
134,54.74,170.89
135,54.87,179.60
136,54.91,178.75
137,54.86,259.24
138,54.90,171.65
139,54.96,179.01
140,54.99,180.01
141,55.08,182.64
142,55.12,172.68
143,55.35,176.15
144,131.86,298.62
145,151.72,286.21
146,153.62,294.70
147,156.71,285.97
148,158.82,289.52
149,159.78,302.15
150,160.41,311.94
151,161.28,306.43
152,161.46,292.83
153,161.50,293.87
154,162.06,307.93
155,162.23,339.49
156,162.68,301.66
157,162.65,302.76
158,162.66,306.48
159,162.64,304.75
160,162.34,304.65
161,162.31,315.55
162,137.76,313.53
163,75.00,183.41
164,62.82,177.92
165,59.05,177.17
166,55.31,158.20
167,55.31,171.11
168,55.12,172.51
169,55.00,171.74
170,55.19,162.42
171,55.08,156.98
172,55.03,171.49
173,55.10,162.41
174,54.94,181.47
175,54.72,169.35
176,54.64,168.29
177,54.97,193.90
178,85.35,201.35
179,178.83,184.52
180,181.34,327.74
181,183.66,349.48
182,185.73,316.30
183,187.69,342.09
184,188.69,331.24
185,188.68,347.37
186,189.17,328.08
187,189.20,330.10
188,189.91,329.55
189,190.32,328.69
190,190.82,318.77
191,190.85,349.10
192,99.11,192.35
193,75.89,181.27
194,62.52,176.54
195,58.95,169.40
196,55.44,161.71
197,55.34,170.90
198,55.42,166.30
199,55.30,165.58
200,54.99,173.57
201,54.98,166.00
202,55.06,158.46
203,54.95,163.62
204,54.85,167.31
205,54.79,169.43
206,54.69,165.24
207,54.90,205.51
208,179.57,350.90
209,208.72,365.28
210,214.93,373.99
211,217.43,355.17
212,219.03,350.37
213,219.91,376.87
214,222.06,359.23
215,222.29,384.89
216,223.84,359.95
217,222.80,362.33
218,223.77,363.44
219,222.33,382.24
220,222.82,362.93
221,222.78,370.42
222,222.52,356.23
223,214.27,366.96
224,84.39,185.06
225,63.45,181.50
226,59.39,162.89
227,55.47,163.57
228,55.35,170.40
229,55.15,163.06
230,54.94,167.98
231,55.02,174.11
232,55.30,170.13
233,55.26,173.83
234,55.07,168.41
235,55.08,160.14
236,55.15,171.65
237,55.06,153.21
238,54.94,168.02
239,55.55,197.69
240,202.16,374.49
241,247.09,365.66
