time,gpu,total
0,15.20,133.47
1,15.06,124.61
2,14.87,127.90
3,14.63,127.89
4,14.07,133.88
5,13.64,122.31
6,13.77,135.64
7,13.85,130.80
8,13.95,144.65
9,14.11,123.79
10,13.92,122.02
11,13.76,144.86
12,13.92,136.13
13,14.12,147.88
14,14.40,138.00
15,14.60,113.68
16,14.70,146.08
17,14.69,156.95
18,14.56,143.85
19,14.32,153.06
20,13.90,144.64
21,14.00,159.10
22,14.47,162.16
23,14.55,158.68
24,14.57,175.56
25,14.64,157.68
26,14.78,163.84
27,14.88,171.06
28,14.79,124.29
29,14.94,129.32
30,15.00,127.12
31,14.95,134.36
32,14.86,144.59
33,14.89,124.74
34,15.07,124.23
35,15.09,133.53
36,14.83,151.07
37,14.66,134.16
38,14.84,121.80
39,14.68,139.73
40,14.24,147.53
41,13.85,125.86
42,13.52,132.66
43,13.44,156.25
44,13.79,150.47
45,14.17,167.12
46,14.29,178.69
47,14.21,155.84
48,14.16,144.97
49,14.41,178.68
50,14.51,184.46
51,14.28,151.28
52,14.07,159.11
53,13.93,173.24
54,13.82,164.58
55,13.78,129.04
56,13.73,131.31
57,13.75,129.41
58,13.96,131.04
59,14.10,148.25
60,14.26,121.48
61,14.61,130.45
62,14.57,142.27
63,14.21,132.42
64,14.22,127.55
65,14.03,143.28
66,13.69,139.24
67,13.79,125.60
68,14.19,136.32
69,14.28,109.33
70,14.07,140.47
71,13.73,183.51
72,13.44,171.48
73,13.26,169.09
74,13.26,174.52
75,13.52,164.83
76,13.53,159.11
77,13.54,161.82
78,13.57,164.64
79,13.24,144.54
80,13.01,157.57
81,13.42,157.41
82,13.92,119.93
83,14.17,143.29
84,14.22,130.69
85,13.94,119.51
86,13.77,126.32
87,14.10,118.45
88,14.25,142.71
89,14.18,142.71
90,14.53,130.83
91,14.84,132.53
92,14.73,132.53
93,14.58,128.78
94,14.66,146.81
95,14.64,131.29
96,14.36,126.03
97,14.18,147.41
98,14.06,144.09
99,13.62,146.66
100,13.33,159.10
101,13.45,176.39
102,13.66,154.95
103,13.77,159.20
104,14.13,153.69
105,14.49,182.01
106,14.34,182.01
107,14.06,173.39
108,13.76,142.79
109,13.67,131.51
110,13.60,132.49
111,13.60,122.28
112,13.88,116.95
113,14.04,112.23
114,13.82,123.58
115,13.69,131.72
116,13.75,122.97
117,13.72,109.41
118,13.75,127.91
119,13.93,112.82
120,14.18,152.25
121,14.28,131.79
122,14.14,164.57
123,13.79,164.57
124,13.48,175.04
125,13.70,156.71
126,13.97,143.48
127,14.09,177.17
128,14.21,181.45
129,14.17,164.61
130,14.27,147.12
131,14.34,166.77
132,14.36,151.05
133,14.39,132.83
134,14.33,128.24
135,14.66,134.50
136,14.72,130.92
137,14.31,143.14
138,14.22,129.42
139,14.22,128.77
140,14.36,125.49
141,14.60,139.72
142,14.50,120.11
143,14.38,148.44
144,14.32,113.71
145,14.02,117.31
146,14.06,154.71
147,14.43,133.04
148,14.33,174.57
149,14.13,144.40
150,14.22,165.45
151,14.17,154.03
152,14.17,162.33
153,14.26,152.09
154,14.30,171.95
155,14.30,152.68
156,14.37,157.77
157,14.32,145.52
158,14.08,141.82
159,14.22,108.41
160,14.57,130.57
161,14.71,131.33
162,14.50,131.08
163,14.30,127.52
164,14.51,137.57
165,14.50,141.32
166,14.43,138.92
167,14.61,149.26
168,14.81,115.80
169,14.96,129.09
170,14.91,127.97
171,14.73,118.67
172,14.48,134.22
173,14.25,159.66
174,14.33,167.14
175,14.33,142.61
176,14.14,151.78
177,14.08,176.53
178,14.07,170.28
179,14.26,172.22
180,14.38,150.32
181,14.25,152.61
182,13.94,165.52
183,13.60,127.11
184,13.38,136.86
185,13.41,121.01
186,13.61,129.15
187,13.83,124.83
188,13.89,113.00
189,13.93,133.88
190,14.08,120.95
191,14.10,120.20
192,14.12,117.85
193,14.07,128.17
194,13.96,121.42
195,14.00,132.79
196,14.05,140.41
197,14.08,129.30
198,14.51,170.24
199,14.76,173.67
200,14.68,175.66
201,14.52,168.58
202,14.12,177.97
203,13.86,154.50
204,13.92,141.70
205,14.01,142.31
206,14.07,177.11
207,14.44,120.65
208,14.81,129.29
209,14.62,121.14
210,14.50,124.25
211,14.79,113.46
212,14.89,120.91
213,14.83,125.56
214,14.58,109.73
215,14.41,121.99
216,14.58,111.40
217,14.60,141.15
218,14.38,144.23
219,14.28,127.30
220,14.34,126.27
221,14.56,144.26
222,14.46,165.28
223,14.15,162.10
224,14.29,159.37
225,14.51,173.60
226,14.39,144.69
227,14.26,147.86
228,14.35,161.15
229,14.42,149.36
230,14.38,143.69
231,14.07,175.66
232,13.99,147.56
233,14.20,118.58
234,14.06,130.76
235,13.93,117.78
236,14.01,144.65
237,14.25,140.81
238,14.17,130.94
239,13.88,119.86
240,13.99,123.04
241,14.30,144.45
242,14.21,125.13
243,13.76,130.72
244,13.37,133.29
245,13.49,141.32
246,13.90,133.23
247,14.09,157.95
248,14.23,152.17
249,14.45,155.95
250,14.59,164.28
251,14.50,165.98
252,14.46,157.24
253,14.32,175.53
254,14.20,161.86
255,14.18,155.65
256,13.92,167.64
257,13.76,130.92
258,14.06,132.55
259,14.43,126.00
260,14.41,120.66
261,14.27,127.22
262,14.27,130.13
263,14.35,131.09
264,14.40,118.00
265,14.28,130.09
266,14.24,127.24
267,14.26,123.91
268,14.20,128.39
269,13.97,128.74
270,13.92,134.70
271,14.15,139.89
272,14.16,155.38
273,14.18,178.46
274,14.08,144.55
275,13.84,182.11
276,13.93,169.52
277,14.07,157.59
278,14.12,152.45
279,13.92,168.72
280,13.49,161.65
281,13.55,166.18
282,13.72,130.46
283,13.75,132.36
284,13.76,134.02
285,13.80,134.02
286,13.77,136.43
287,13.68,127.94
288,13.54,124.32
289,13.16,138.44
290,13.23,136.31
291,13.60,134.75
292,13.70,134.75
293,13.61,132.51
294,13.49,137.05
295,13.36,121.18
296,13.47,141.86
297,13.73,145.58
298,13.97,160.16
299,13.92,156.77
300,13.59,161.31
301,13.54,145.81
302,13.58,156.57
303,13.70,159.29
304,13.85,165.28
305,13.61,163.97
306,13.40,145.80
307,13.41,112.96
308,13.26,128.79
309,13.03,121.99
310,12.98,121.99
311,13.05,123.49
312,13.18,123.32
313,13.30,128.26
314,13.23,134.82
315,13.07,134.95
316,13.13,129.29
317,13.32,131.10
318,13.26,153.88
319,12.91,135.64
320,12.90,134.76
321,13.16,173.50
322,13.21,161.67
323,13.17,160.86
324,13.16,158.61
325,13.44,166.33
326,13.39,146.77
327,13.22,176.29
328,13.42,147.61
329,13.38,170.28
330,13.31,146.61
331,13.35,124.75
332,13.37,141.13
333,13.37,146.86
334,13.37,124.81
335,13.42,130.90
336,13.52,141.54
337,13.56,132.76
338,13.70,113.76
339,13.81,117.85
340,13.70,135.02
341,14.10,125.09
342,14.50,130.51
343,14.34,128.95
344,14.34,113.51
345,14.42,133.53
346,14.20,168.72
347,14.07,141.71
348,14.16,165.23
349,14.24,166.04
350,14.09,164.47
351,13.84,162.07
352,13.64,150.57
353,13.45,174.01
354,13.51,162.95
355,13.43,127.32
356,13.36,126.29
357,13.90,131.41
358,14.33,143.34
359,14.23,110.76
360,14.05,146.75
361,13.98,119.40
362,13.78,150.72
363,13.68,118.14
364,13.83,140.28
365,13.57,114.51
366,13.30,117.74
367,13.39,135.94
368,13.73,152.89
369,13.91,146.33
370,13.75,175.94
371,14.01,161.71
372,14.27,156.41
373,14.18,168.59
374,13.89,170.05
375,13.71,157.62
376,13.67,182.94
377,13.78,151.01
378,14.18,174.72
379,14.44,145.09
380,14.35,165.31
381,14.06,144.23
382,14.03,133.10
383,13.99,128.13
384,13.93,125.23
385,13.91,115.09
386,13.83,120.32
387,13.86,115.42
388,13.93,121.78
389,14.26,129.06
390,14.73,124.70
391,14.82,130.95
392,14.65,147.71
393,14.52,134.33
394,14.60,131.32
395,14.58,123.12
