time,gpu,total,is_running,n_atoms,tps
0,10.64,142.671875,False,,
1,10.64,132.14137268066406,False,,
2,10.29,140.16725158691406,False,,
3,10.46,131.74302673339844,False,,
4,10.73,149.86019897460938,False,,
5,10.5,132.9871826171875,False,,
6,10.3,147.5247344970703,False,,
7,10.97,146.03720092773438,False,,
8,10.96,146.39642333984375,False,,
9,10.85,147.1631622314453,False,,
10,10.9,154.83279418945312,False,,
11,10.96,136.96624755859375,False,,
12,10.9,150.47059631347656,True,512,
13,15.85,147.6988983154297,True,512,
14,70.96,265.30352783203125,True,512,
15,94.17,248.1396484375,True,512,
16,99.75,240.20986938476562,True,512,
17,99.61,247.10116577148438,True,512,
18,99.46,256.75506591796875,True,512,
19,99.9,248.14712524414062,True,512,
20,99.82,248.3490447998047,True,512,
21,99.82,240.51365661621094,True,512,
22,99.96,240.5438995361328,True,512,
23,100.35,248.88446044921875,True,512,
24,100.16,246.56471252441406,True,512,
25,100.04,252.70965576171875,True,512,
26,99.57,244.7957000732422,True,512,
27,100.01,252.3842010498047,True,512,
28,99.86,255.3487548828125,True,512,
29,99.97,247.16702270507812,True,512,
30,99.88,256.43829345703125,True,512,
31,99.82,253.82763671875,True,512,
32,100.01,245.63198852539062,True,512,
33,100.1,279.643798828125,True,512,
34,99.79,238.1852264404297,True,512,
35,99.95,244.79273986816406,True,512,
36,99.64,241.54345703125,True,512,
37,99.57,252.2708282470703,True,512,
38,99.88,242.65023803710938,True,512,
39,99.57,243.2519989013672,True,512,
40,99.89,250.36363220214844,True,512,
41,99.96,251.20980834960938,True,512,
42,100.28,246.45816040039062,True,512,
43,100.52,243.4003143310547,True,512,
44,100.24,260.3170471191406,True,512,
45,100.44,251.9961700439453,True,512,
46,100.48,201.78952026367188,False,512,84399.93793580116
47,64.43,199.67494201660156,False,512,84399.93793580116
48,58.96,180.6781005859375,False,512,84399.93793580116
49,56.31,166.6431884765625,False,512,84399.93793580116
50,53.71,187.7227783203125,False,512,84399.93793580116
51,53.55,179.88502502441406,False,512,84399.93793580116
52,53.56,176.3717041015625,False,512,84399.93793580116
53,53.76,171.05282592773438,False,512,84399.93793580116
54,53.75,174.07290649414062,False,512,84399.93793580116
55,53.87,193.1370391845703,False,512,84399.93793580116
56,53.76,158.8564453125,False,512,84399.93793580116
57,53.62,177.52740478515625,False,512,84399.93793580116
58,53.61,200.9222869873047,True,1024,84399.93793580116
59,77.25,274.9267883300781,True,1024,84399.93793580116
60,123.89,268.63153076171875,True,1024,84399.93793580116
61,124.05,266.346435546875,True,1024,84399.93793580116
62,124.27,276.31622314453125,True,1024,84399.93793580116
63,124.57,274.6087951660156,True,1024,84399.93793580116
64,124.73,265.54443359375,True,1024,84399.93793580116
65,124.63,277.52899169921875,True,1024,84399.93793580116
66,124.26,285.8204040527344,True,1024,84399.93793580116
67,124.32,276.6548767089844,True,1024,84399.93793580116
68,124.36,264.0283203125,True,1024,84399.93793580116
69,124.91,246.63485717773438,True,1024,84399.93793580116
70,125.09,272.33502197265625,True,1024,84399.93793580116
71,125.04,273.88116455078125,True,1024,84399.93793580116
72,125.22,265.7380676269531,True,1024,84399.93793580116
73,125.35,239.25775146484375,True,1024,84399.93793580116
74,125.35,274.0285949707031,True,1024,84399.93793580116
75,125.43,277.1450500488281,True,1024,84399.93793580116
76,125.36,288.1322326660156,True,1024,84399.93793580116
77,125.58,274.480712890625,True,1024,84399.93793580116
78,125.76,268.54754638671875,True,1024,84399.93793580116
